Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-3403.108	-3568.483	165.3753	1.346281	2.996034	0.4419804	0.656039	0.343961	2.981696
6	-3412.567	-3578.385	165.818	1.246512	2.298339	0.4343296	0.553448	0.446552	2.981696
12	-3428.001	-3593.588	165.5866	1.578213	2.79503	0.5534577	0.727811	0.272189	2.652977
18	-3415.921	-3581.596	165.6749	1.454964	2.79503	0.6767642	0.632189	0.367811	2.565429
24	-3405.66	-3570.425	164.7652	1.230687	3.274614	0.3025998	0.635392	0.364608	3.510848
30	-3408.673	-3573.002	164.3287	1.17627	3.274614	0.3305006	0.635392	0.364608	3.759078
36	-3416.416	-3580.423	164.0064	1.154506	2.325008	0.3708093	0.471915	0.528085	4.153219
42	-3403.6	-3567.317	163.717	1.158551	3.047845	0.5351697	0.480976	0.519024	3.956837
48	-3410.099	-3574.425	164.3258	1.220943	2.924057	0.5108837	0.482989	0.517011	3.62302
54	-3407.631	-3571.762	164.1312	1.222293	2.853404	0.4944192	0.609438	0.390562	3.768357
60	-3421.284	-3584.962	163.6779	1.109487	2.606157	0.4746426	0.503298	0.496702	4.176156
66	-3423.376	-3586.542	163.1668	1.272698	2.606157	0.7099477	0.592547	0.407453	4.176156
72	-3425.507	-3588.83	163.3231	1.092047	2.922662	0.4679987	0.675615	0.324385	4.31216
78	-3416.825	-3581.087	164.2626	1.278056	2.379387	0.4084527	0.701225	0.298775	3.87812
84	-3425.482	-3591.419	165.9364	1.448201	2.287399	0.4227897	0.598869	0.401131	2.804465
90	-3415.633	-3581.354	165.7216	1.23892	2.367782	0.3523418	0.716749	0.283251	3.118042
96	-3425.95	-3591.376	165.4265	1.293252	2.367782	0.3523418	0.653123	0.346877	3.260836
102	-3423.245	-3588.651	165.4058	1.303015	2.422363	0.3820997	0.679055	0.320945	3.214942
108	-3417.396	-3583.457	166.0611	1.356594	3.702331	0.4331673	0.616394	0.383606	2.394215
114	-3423.39	-3589.557	166.1674	1.532333	3.387221	0.4158216	0.616394	0.383606	2.30989
120	-3413.63	-3579.085	165.4549	1.418886	2.894722	0.3506254	0.59295	0.40705	3.023126
126	-3428.937	-3595.245	166.3078	1.489938	2.894722	0.5390648	0.602748	0.397252	2.241236
132	-3428.067	-3594.887	166.8199	1.510082	2.637932	0.4389419	0.568315	0.431685	2.080333
138	-3429.631	-3596.486	166.8554	1.499487	2.282104	0.4389419	0.517396	0.482604	2.179975
144	-3423.53	-3590.75	167.2194	1.610973	2.282104	0.3527195	0.593461	0.406539	1.977283
150	-3411.815	-3578.599	166.7839	1.73273	3.128432	0.3956548	0.583732	0.416268	1.865269
