Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-3415.967	-3581.721	165.7541	1.428453	3.145083	0.3425773	0.573285	0.426715	2.782953
6	-3416.233	-3582.318	166.085	1.421044	2.461969	0.3710391	0.647891	0.352109	2.737064
12	-3409.19	-3575.586	166.3957	1.439774	2.665582	0.4542467	0.643391	0.356609	2.37334
18	-3407.444	-3573.617	166.1732	1.638129	2.665582	0.5940371	0.601223	0.398777	2.245543
24	-3408.019	-3575.088	167.0692	1.696654	2.665582	0.3976713	0.654806	0.345194	1.830596
30	-3410.789	-3577.881	167.092	1.725436	3.006578	0.3976713	0.672651	0.327349	1.688586
36	-3422.664	-3589.951	167.2871	1.722813	2.544631	0.3832968	0.604754	0.395246	1.720377
42	-3421.698	-3589.11	167.4115	1.687187	2.655134	0.3832968	0.604754	0.395246	1.619379
48	-3412.707	-3580.09	167.3833	1.773287	2.655134	0.3832968	0.622455	0.377545	1.577262
54	-3414.922	-3582.376	167.4542	1.923717	2.655134	0.3832968	0.620222	0.379778	1.410813
60	-3409.014	-3576.435	167.4208	1.902916	2.893453	0.4604621	0.683018	0.316982	1.252785
66	-3404.273	-3571.721	167.4484	1.86898	3.090813	0.4666319	0.683018	0.316982	1.177625
72	-3401.829	-3569.524	167.695	1.943114	2.596113	0.3511543	0.637604	0.362396	1.278095
78	-3395.425	-3563.082	167.6574	1.871524	3.01113	0.3302521	0.637604	0.362396	1.251354
84	-3407.379	-3575.003	167.6237	1.909268	3.073173	0.3940106	0.616905	0.383095	1.11111
90	-3414.29	-3581.961	167.6716	1.924624	2.630862	0.389158	0.58006	0.41994	1.235077
96	-3410.387	-3577.72	167.3331	1.87348	2.701623	0.389158	0.699929	0.300071	1.515766
102	-3407.039	-3574.022	166.9825	1.872826	3.401871	0.389158	0.556554	0.443446	1.55791
108	-3413.563	-3581.206	167.6438	1.951762	2.819831	0.389158	0.508999	0.491001	1.161251
114	-3418.523	-3586.592	168.0688	2.044615	2.234891	0.4060275	0.48749	0.51251	0.9034408
